,Name,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Age
30,Jeep Compass,1.4 SPORT PETROL,Manual,42490,2nd Owner,Petrol,1376149,3
31,Maruti Celerio,VXI,Manual,14065,1st Owner,Petrol,477299,2
32,KIA SELTOS,HTK 1.5 PETROL,Manual,32873,1st Owner,Petrol,1189899,2
33,Hyundai Grand,MAGNA 1.2 VTVT,Manual,6470,1st Owner,Petrol,608399,2
34,MG HECTOR,SHARP HYBRID PETROL,Manual,12185,2nd Owner,Petrol,1848299,2
35,Datsun Redi,T (O),Manual,13021,1st Owner,Petrol,463499,1
36,Nissan Micra,XE DIESEL,Manual,63753,1st Owner,Diesel,275299,8
37,Jeep Compass,1.4  LONGITUDE (O) AT,Automatic,23327,1st Owner,Petrol,2012799,3
38,Jeep Compass,2.0 LIMITED,Manual,46860,1st Owner,Diesel,1941699,3
40,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,16157,1st Owner,Petrol,465199,6
41,Hyundai Verna,1.6 CRDI SX + AT,Automatic,33499,1st Owner,Diesel,1149399,4
42,Maruti Swift,ZXI,Manual,13159,1st Owner,Petrol,412099,10
43,Hyundai Elite,SPORTZ 1.2,Manual,25414,1st Owner,Petrol,530099,7
44,Honda City,SV MT PETROL,Manual,58689,1st Owner,Petrol,732399,5
45,Hyundai i10,SPORTZ 1.2 KAPPA2,Manual,54800,1st Owner,Petrol,257999,10
46,Nissan Micra,XV CVT,Automatic,8096,1st Owner,Petrol,476399,6
48,Renault Kwid,1.0 RXT Opt,Manual,10572,2nd Owner,Petrol,452199,2
49,Maruti Celerio,VXI AMT,Automatic,41822,3rd Owner,Petrol,339599,8
51,Hyundai Creta,1.5 SX (O) AT,Automatic,16315,1st Owner,Petrol,1755399,2
54,Maruti Wagon,LXI,Manual,59277,1st Owner,Petrol,342699,8
55,MG HECTOR,SHARP DCT PETROL,Automatic,9378,1st Owner,Petrol,1794899,3
56,Maruti IGNIS,SIGMA 1.2 K12,Manual,15199,1st Owner,Petrol,506599,2
57,KIA SELTOS,HTK PLUS AT 1.5 DIESEL,Automatic,33981,2nd Owner,Diesel,1465299,2
58,Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,36483,1st Owner,Petrol,608199,7
59,Maruti Swift,VXI,Manual,35953,1st Owner,Petrol,603299,3
60,Hyundai Verna,FLUIDIC 1.6 SX VTVT OPT AT,Automatic,60368,2nd Owner,Petrol,523299,9
61,Maruti Alto,VXI,Manual,2920,1st Owner,Petrol,408999,4
62,Honda City,V MT PETROL,Manual,83263,1st Owner,Petrol,549799,8
63,Renault Kwid,1.0 RXT Opt,Manual,2863,1st Owner,Petrol,473299,1
64,KIA SELTOS,HTX+ AT 1.5 DIESEL,Automatic,32605,2nd Owner,Diesel,1539699,2
65,Hyundai Elite,MAGNA 1.2,Manual,20452,2nd Owner,Petrol,494199,6
66,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,21043,1st Owner,Petrol,540599,3
67,Hyundai i10,MAGNA 1.1 IRDE2,Manual,61943,1st Owner,Petrol,259399,11
68,Maruti Vitara,VXI,Manual,9236,1st Owner,Petrol,879499,1
69,BMW X3,XDRIVE 20D,Automatic,71180,2nd Owner,Diesel,1126499,9
71,Maruti Celerio,ZXI AMT,Automatic,9278,1st Owner,Petrol,607599,1
72,Hyundai i20,ERA 1.4 CRDI,Manual,30354,1st Owner,Diesel,306299,9
73,Honda Jazz,1.2 S AT,Automatic,48225,2nd Owner,Petrol,526999,6
74,Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,96751,1st Owner,Petrol,747899,4
75,Hyundai i20,MAGNA O 1.2,Manual,59194,2nd Owner,Petrol,342799,9
76,Honda Jazz,1.2 VX I-VTECH,Manual,28170,1st Owner,Petrol,543799,7
77,Maruti Swift,VXI AMT,Automatic,45067,2nd Owner,Petrol,622999,3
78,Maruti Baleno,DELTA 1.2 K12,Manual,12452,2nd Owner,Petrol,668599,3
80,Honda City,VX MT PETROL,Manual,7632,1st Owner,Petrol,1297699,2
81,Maruti New,ZXI 1.2,Manual,12418,1st Owner,Petrol,608599,2
