Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2013 Hyundai i20,MAGNA O 1.2 Manual,Manual,"59,194 km",2nd Owner,Petrol,"?3,42,799",,,,,,
2015 Honda Jazz,1.2 VX I-VTECH Manual,Manual,"28,170 km",1st Owner,Petrol,"?5,43,799",,,,,,
2019 Maruti Swift,VXI AMT Automatic,Automatic,"45,067 km",2nd Owner,Petrol,"?6,22,999",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"12,452 km",2nd Owner,Petrol,"?6,68,599",,,,,,
2021 Toyota URBAN CRUISER,PREMIUM MT ,,"18,042 km",2nd Owner,Petrol,"?10,29,499",,,,,,
2020 Honda City,VX MT PETROL Manual,Manual,"7,632 km",1st Owner,Petrol,"?12,97,699",,,,,,
2020 Maruti New  Wagon-R,ZXI 1.2 Manual,Manual,"12,418 km",1st Owner,Petrol,"?6,08,599",,,,,,
2021 Renault Kwid,1.0 RXT Opt AT Automatic,Automatic,"35,187 km",1st Owner,Petrol,"?5,00,799",,,,,,
2021 KIA SONET,GTX PLUS 1.5D  MT ,,"14,458 km",1st Owner,Diesel,"?15,44,149",,,,,,
2010 Maruti Alto,LXI Manual,Manual,"55,163 km",1st Owner,Petrol,"?1,88,099",,,,,,
2014 Honda City,SV MT PETROL Manual,Manual,"20,567 km",2nd Owner,Petrol,"?5,99,249",,,,,,
2021 Maruti Alto,LXI OPT Manual,Manual,"2,229 km",1st Owner,Petrol,"?4,28,399",,,,,,
2018 Honda City,V MT PETROL Manual,Manual,"68,366 km",1st Owner,Petrol,"?8,15,699",,,,,,
2021 Hyundai VENUE,S MT 1.2 KAPPA Manual,Manual,"15,263 km",1st Owner,Petrol,"?8,34,099",,,,,,
2015 Hyundai i10,MAGNA 1.1 IRDE2 Manual,Manual,"72,272 km",2nd Owner,Petrol,"?3,30,899",,,,,,
2019 Datsun Redi Go,A Manual,Manual,"27,411 km",1st Owner,Petrol,"?3,28,049",,,,,,
2018 Jeep Compass,2.0 LONGITUDE Manual,Manual,"72,575 km",1st Owner,Diesel,"?12,04,299",,,,,,
2018 Honda Amaze,1.2 S (O) MT I VTEC Manual,Manual,"58,093 km",2nd Owner,Petrol,"?5,06,299",,,,,,
2019 Tata NEXON,XMA 1.2 Automatic,Automatic,"28,467 km",1st Owner,Petrol,"?7,87,499",,,,,,
2020 Honda City,V MT PETROL Manual,Manual,"4,216 km",1st Owner,Petrol,"?10,96,749",,,,,,
2020 Maruti Baleno,SIGMA 1.2 K12 Manual,Manual,"36,041 km",1st Owner,Petrol,"?5,51,299",,,,,,
2017 Maruti Dzire,VXI Manual,Manual,"18,949 km",1st Owner,Petrol,"?6,31,299",,,,,,
2017 Maruti Vitara Brezza,VDI OPT Manual,Manual,"28,496 km",2nd Owner,Diesel,"?6,47,599",,,,,,
2018 Honda Amaze,1.5 VXMT I DTEC Manual,Manual,"52,220 km",1st Owner,Diesel,"?6,92,849",,,,,,
2019 Honda Amaze,1.2 V CVT I VTEC Automatic,Automatic,"13,291 km",2nd Owner,Petrol,"?7,88,399",,,,,,
2021 Maruti New  Wagon-R,1.0 Lxi (o) cng Manual,Manual,"34,542 km",1st Owner,Petrol + CNG,"?6,83,199",,,,,,
2019 Tata Tiago,XZA 1.2 REVOTRON Automatic,Automatic,"13,291 km",1st Owner,Petrol,"?5,34,099",,,,,,
2020 Maruti Celerio,VXI AMT Automatic,Automatic,"10,515 km",1st Owner,Petrol,"?5,74,699",,,,,,
2011 Honda City,S MT PETROL Manual,Manual,"52,035 km",1st Owner,Petrol,"?3,72,999",,,,,,
2019 Renault Kwid,1.0 RXT Opt Manual,Manual,"50,466 km",1st Owner,Petrol,"?4,14,699",,,,,,
2020 Honda City,VX MT PETROL Manual,Manual,"6,873 km",1st Owner,Petrol,"?12,84,799",,,,,,
2018 Renault Kwid,RXL Manual,Manual,"19,927 km",1st Owner,Petrol,"?3,54,799",,,,,,
2020 Maruti New  Wagon-R,ZXI 1.2 Manual,Manual,"10,777 km",1st Owner,Petrol,"?6,08,599",,,,,,
2017 Maruti Vitara Brezza,ZDI PLUS DUAL TONE Manual,Manual,"38,072 km",1st Owner,Diesel,"?7,88,599",,,,,,
2018 Maruti Wagon R 1.0,VXI AMT Automatic,Automatic,"15,854 km",1st Owner,Petrol,"?5,10,899",,,,,,
2018 Renault Kwid,1.0 RXL Manual,Manual,"42,535 km",1st Owner,Petrol,"?3,32,399",,,,,,
