Title,primefeatures,Price
Land Rover Freelander 2 HSE - 2012,"1,24,356 kms / Diesel","₹13,90,000 "
Hyundai Creta S PETROL MT - 2021,"20,134 kms / Petrol","₹12,90,000 "
Mercedes Benz A Class A 180 - 2013,"66,543 kms / Diesel","₹11,90,000 "
Mahindra Thar DI 4WD - 2020,"29,876 kms / Diesel","₹16,90,000 "
Maruti Suzuki Swift VDi - 2011,"50,000 kms / Petrol","₹4,30,000 "
Maruti Suzuki Wagon R Duo Lxi - 2006,"1,33,000 kms / Petrol","₹1,65,000 "
Maruti Suzuki 800 AC BS III - 2006,"90,000 kms / Petrol","₹85,000 "
Hyundai i20 Sportz 1.4 CRDI - 2012,"99,000 kms / Diesel","₹3,75,000 "
Datsun RediGo A - 2019,"75,000 kms / Petrol / 1st Owner","₹3,02,000 "
Hyundai Accent GLS 1.6 ABS - 2002,"1,08,000 kms / Petrol","₹85,000 "
Nissan Sunny XL CVT AT - 2014,"1,70,000 kms / Petrol / 1st Owner","₹3,90,000 "
Maruti Suzuki OMNI E 8 STR - 1999,"1,25,000 kms / Petrol","₹70,000 "
Hyundai Accent CRDi - 2006,"1,70,000 kms / Diesel","₹1,50,000 "
Hyundai Accent GLS 1.6 ABS - 2006,"1,80,000 kms / Diesel","₹1,50,000 "
Maruti Suzuki Wagon R LXi BS III - 2007,"90,000 kms / Petrol","₹1,80,000 "
Skoda Rapid 1.6 MPI Ambition Plus - 2017,"1,04,000 kms / Diesel","₹7,25,000 "
Skoda Rapid New - 2020,"25,678 kms / Petrol","₹9,90,000 "
Maruti Suzuki Wagon R LXi BS III - 2006,"1,00,000 kms / Petrol","₹1,95,000 "
Tata Nano LX SE - 2012,"96,000 kms / Petrol","₹99,999 "
Maruti Suzuki A Star Vxi - 2009,"50,000 kms / Petrol / 2nd Owner","₹2,00,000 "
Maruti Suzuki Alto LXi BS III - 2008,"1,00,000 kms / Petrol","₹1,70,000 "
Audi A6 3.0 TDI quattro Premium Plus - 2006,"1,27,000 kms / Diesel","₹8,50,000 "
Honda City 1.5 EXi New - 2008,"84,000 kms / Petrol","₹99,000 "
